comment_id,comment,language,date,location
1,I reported unresponsive staff weeks ago but no action taken. Disappointed.,English,5/17/23,Region IV-A
2,The disaster response in davao city needs improvement. delayed response,English,7/24/24,Region VII
3,Lgu services in cebu city have improved significantly this year.,English,1/10/23,Region IV-A
4,Why is barangay hall services always delayed in maynila? This is unacceptable.,English,7/3/24,Region III
5,I'm frustrated with poor communication at the angeles city. Please fix!,English,6/4/24,Region III
6,Sana all may disaster preparedness! Pero kulang pa rin 😔,Taglish,1/6/23,Region IV-A
7,The road maintenance staff were very helpful during my visit to baguio.,English,5/28/24,Region VII
8,The health center in bacolod needs improvement. broken infrastructure,English,1/18/23,Region III
9,Thank you lgu for the business support! Children have better access to services,English,6/9/24,Region XI
10,I reported long queues weeks ago but no action taken. Disappointed.,English,2/11/23,Region VII
11,The water supply in iloilo city needs improvement. poor communication,English,7/6/23,Region IV-A
12,I'm frustrated with delayed response at the cebu city. Please fix!,English,5/20/23,Region VII
13,Why is waste management always delayed in bacolod? This is unacceptable.,English,8/10/23,Region III
14,Great job on the health services! Our community appreciates the effort.,English,5/9/23,Region VII
15,Jeepney shortage every holiday season. Fix po sa transport system!,Taglish,6/29/24,Region III
16,Great job on the community programs! Our community appreciates the effort.,English,6/26/23,Region XI
17,Ang hirap po ng water supply dito sa cagayan de oro 😭 inconsistent schedules,Taglish,6/10/24,NCR
18,Lgu services in cebu city have improved significantly this year.,English,11/25/23,Region III
19,Sana all may business support! Pero kulang pa rin 😔,Taglish,2/1/23,Region III
20,The waste management in iloilo city needs improvement. long queues,English,2/2/24,Region III
21,Bakit po ang tagal ng road maintenance sa cebu city? Nakakainis na!,Taglish,12/22/23,NCR
22,Great job on the disaster preparedness! Our community appreciates the effort.,English,3/12/23,Region VII
23,The public market in angeles city needs improvement. inconsistent schedules,English,1/6/24,NCR
24,I reported lack of resources weeks ago but no action taken. Disappointed.,English,7/12/24,Region IV-A
25,Great job on the health services! Our community appreciates the effort.,English,3/21/24,Region XI
26,Gutom ang mga bata sa barangay namin. Tulong po sa delayed response!,Taglish,9/29/23,NCR
27,The business permit processing staff were very helpful during my visit to naga city.,English,5/27/24,Region III
28,The business permit processing in cebu city needs improvement. inconsistent schedules,English,1/26/23,Region VII
29,Gutom ang mga bata sa barangay namin. Tulong po sa inconsistent schedules!,Taglish,10/21/23,Region XI
30,Salamat po sa business support! Sobrang laking tulong 👍,Taglish,7/9/23,Region IV-A
31,Great job on the disaster preparedness! Our community appreciates the effort.,English,12/7/23,NCR
32,Lgu services in cagayan de oro have improved significantly this year.,English,9/30/23,Region VII
33,Why is transport system always delayed in baguio? This is unacceptable.,English,3/29/23,NCR
34,Public evacuation center in zamboanga is severely lacking. unresponsive staff,English,12/29/24,Region XI
35,Ang hirap po ng public market dito sa baguio 😭 delayed response,Taglish,9/9/24,Region IV-A
36,"Bahala na attitude ng iba, pero salamat sa ayuda distribution!",Taglish,10/5/24,Region XI
37,Thank you lgu for the health services! Our barangay is safer now,English,10/8/23,Region IV-A
38,I reported broken infrastructure weeks ago but no action taken. Disappointed.,English,7/7/23,Region III
39,The disaster response in baguio needs improvement. poor communication,English,5/17/23,Region XI
40,Why is health center always delayed in iloilo city? This is unacceptable.,English,2/23/24,Region XI
41,The new health center in zamboanga has made a huge difference!,English,3/11/23,NCR
42,The new road in maynila has made a huge difference!,English,7/24/23,Region XI
43,Jeepney shortage every rainy season. Fix po sa transport system!,Taglish,4/2/24,Region III
44,Public disaster response in zamboanga is severely lacking. delayed response,English,3/22/24,Region III
45,Ang hirap po ng evacuation center dito sa cebu city 😭 delayed response,Taglish,7/16/23,Region VII
46,Jeepney shortage every holiday season. Fix po sa transport system!,Taglish,1/28/24,NCR
47,Mas maganda na ang road maintenance ngayon sa iloilo city. Salamat lgu!,Taglish,4/11/23,Region III
48,Salamat po sa disaster preparedness! Sobrang laking tulong 👍,Taglish,6/21/23,Region XI
49,Public water supply in angeles city is severely lacking. delayed response,English,9/13/23,Region XI
50,Salamat po sa ayuda distribution! Sobrang laking tulong 👍,Taglish,9/24/23,Region VII
51,Jeepney shortage every holiday season. Fix po sa transport system!,Taglish,8/7/24,NCR
52,The evacuation center in iloilo city needs improvement. poor communication,English,4/7/24,Region III
53,I'm frustrated with unresponsive staff at the zamboanga. Please fix!,English,4/12/24,Region III
54,Mas maganda na ang disaster response ngayon sa cagayan de oro. Salamat lgu!,Taglish,7/26/23,Region IV-A
55,The waste management in maynila needs improvement. poor communication,English,7/20/23,NCR
56,Gutom ang mga bata sa barangay namin. Tulong po sa poor communication!,Taglish,2/23/23,Region XI
57,The new health center in davao city has made a huge difference!,English,8/16/24,Region IV-A
58,Why is waste management always delayed in zamboanga? This is unacceptable.,English,3/7/24,Region VII
59,Sana all may disaster preparedness! Pero kulang pa rin 😔,Taglish,3/19/24,NCR
60,I reported broken infrastructure weeks ago but no action taken. Disappointed.,English,4/15/24,Region III
61,Jeepney shortage every holiday season. Fix po sa transport system!,Taglish,7/13/23,Region VII
62,I reported unresponsive staff weeks ago but no action taken. Disappointed.,English,11/14/23,NCR
63,I reported broken infrastructure weeks ago but no action taken. Disappointed.,English,4/6/23,Region XI
64,Great job on the road repairs! Our community appreciates the effort.,English,3/28/23,Region XI
65,Jeepney shortage every weekends. Fix po sa transport system!,Taglish,9/28/24,Region III
66,Nakakalungkot po ang condition ng road sa davao city,Taglish,11/17/23,NCR
67,I reported unresponsive staff weeks ago but no action taken. Disappointed.,English,12/25/24,Region VII
68,The new health center in zamboanga has made a huge difference!,English,6/22/23,Region III
69,Jeepney shortage every holiday season. Fix po sa transport system!,Taglish,2/25/23,Region III
70,The waste management in maynila needs improvement. long queues,English,6/30/24,Region IV-A
71,Thank you lgu for the disaster preparedness! Our barangay is safer now,English,1/12/24,Region XI
72,The health center staff were very helpful during my visit to naga city.,English,12/5/23,Region III
73,Why is waste management always delayed in cagayan de oro? This is unacceptable.,English,10/31/24,Region VII
74,Lgu services in cagayan de oro have improved significantly this year.,English,6/14/24,Region VII
75,Nakakalungkot po ang condition ng barangay hall sa cagayan de oro,Taglish,3/30/24,NCR
76,Thank you lgu for the ayuda distribution! This helps our family survive,English,1/1/24,Region III
77,The road maintenance staff were very helpful during my visit to cebu city.,English,11/27/23,Region IV-A
78,The transport system in iloilo city needs improvement. delayed response,English,9/26/24,NCR
79,Bakit po ang tagal ng barangay hall services sa baguio? Nakakainis na!,Taglish,6/27/24,Region VII
80,The new barangay hall in iloilo city has made a huge difference!,English,12/27/24,Region XI
81,Lgu services in bacolod have improved significantly this year.,English,10/18/24,NCR
82,Gutom ang mga bata sa barangay namin. Tulong po sa lack of resources!,Taglish,1/23/23,Region III
83,Nakakalungkot po ang condition ng road sa baguio,Taglish,12/3/23,Region XI
84,Thank you lgu for the ayuda distribution! Children have better access to services,English,12/26/24,Region IV-A
85,The health center in iloilo city needs improvement. poor communication,English,4/23/24,Region IV-A
86,Thank you lgu for the business support! This helps our family survive,English,10/22/24,NCR
87,Lgu services in angeles city have improved significantly this year.,English,3/7/24,Region XI
88,Lgu services in cebu city have improved significantly this year.,English,10/2/24,Region VII
89,The health center staff were very helpful during my visit to bacolod.,English,8/13/24,Region XI
90,I reported delayed response weeks ago but no action taken. Disappointed.,English,1/27/23,Region VII
91,Thank you lgu for the business support! Our barangay is safer now,English,2/25/23,Region VII
92,Why is waste management always delayed in iloilo city? This is unacceptable.,English,8/20/23,Region VII
93,Thank you lgu for the ayuda distribution! Children have better access to services,English,1/10/23,Region VII
94,Thank you lgu for the disaster preparedness! Children have better access to services,English,8/22/24,Region XI
